	Gene ID	source_id	Input Order	Input ID	Product Description	Gene Name or Symbol	Apollo Product Description	PFam ID	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Process IDs	Computed GO Functions	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Functions	Curated GO Function IDs	Curated GO Process IDs	Curated GO Processes	UniProt ID(s)
150	PF3D7_0935000	PF3D7_0935000.1	245	PF3D7_0935000	U2 small nuclear ribonucleoprotein B'', putative	SNRPB2	None	PF00076			GO:0003676		nucleic acid binding		GO:0005685;GO:0005634	U1 snRNP;nucleus	U1 snRNA binding;mRNA binding	GO:0030619;GO:0003729	GO:0000398	mRNA splicing, via spliceosome	Q8I2G9
151	PF3D7_1005100	PF3D7_1005100.1	246	PF3D7_1005100	U3 small nucleolar RNA-associated protein 25, putative	UTP25	None	PF06862	GO:0005634	nucleus					GO:0005730;GO:0032040	nucleolus;small-subunit processome	U3 snoRNA binding;rRNA binding	GO:0034511;GO:0019843	GO:0000462;GO:0042274	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal small subunit biogenesis	Q8IJY7
152	PF3D7_1006400	PF3D7_1006400.1	68	PF3D7_1006400	heptatricopeptide repeat-containing protein, putative		None	PF08373													Q8IJX7
153	PF3D7_1009400	PF3D7_1009400.1	247	PF3D7_1009400	zinc finger protein, putative	ZNF2	None								GO:0005634	nucleus					Q8IJV1
154	PF3D7_1009900	PF3D7_1009900.1	69	PF3D7_1009900	heptatricopeptide repeat-containing protein, putative		None	PF03064	GO:0005854	nascent polypeptide-associated complex					GO:0005737	cytoplasm	unfolded protein binding	GO:0051082	GO:0006612	protein targeting to membrane	Q8IJU6
155	PF3D7_1011100	PF3D7_1011100.1	70	PF3D7_1011100	conserved Plasmodium protein, unknown function		None														Q8IJT4
156	PF3D7_1011800	PF3D7_1011800.1	248	PF3D7_1011800	PRE-binding protein	PREBP	None	PF00013			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	DNA-binding transcription factor activity;RNA binding;double-stranded DNA binding;mRNA binding;sequence-specific DNA binding	GO:0003700;GO:0003723;GO:0003690;GO:0003729;GO:0043565	GO:0010468;GO:0006355	regulation of gene expression;regulation of transcription, DNA-templated	Q25784,Q8IJS7
157	PF3D7_1019000	PF3D7_1019000.1	249	PF3D7_1019000	eukaryotic translation initiation factor subunit eIF2A, putative		None	PF02213;PF08662			GO:0005515;GO:0003743	GO:0006413	protein binding;translation initiation factor activity	translational initiation	GO:0022627;GO:0005634	cytosolic small ribosomal subunit;nucleus	mRNA binding;ribosome binding;tRNA binding;translation initiation factor activity	GO:0003729;GO:0043022;GO:0000049;GO:0003743			Q8IJL2
158	PF3D7_1020000	PF3D7_1020000.1	71	PF3D7_1020000	RNA-binding protein 34, putative	RBM34	None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding								Q8IJK1
159	PF3D7_1020400	PF3D7_1020400.1	250	PF3D7_1020400	rRNA (cytosine-C(5))-methyltransferase, putative	RCM1	None	PF01189			GO:0003723;GO:0008168		RNA binding;methyltransferase activity		GO:0005730	nucleolus	rRNA (cytosine-C5-)-methyltransferase activity	GO:0009383	GO:0001510;GO:0070475	RNA methylation;rRNA base methylation	Q8IJJ8
160	PF3D7_1020700	PF3D7_1020700.1	251	PF3D7_1020700	N-acetyltransferase, GNAT family, putative		None	PF05127;PF08351;PF13718;PF13725			GO:0005524;GO:0008080	GO:0034470;GO:0016072;GO:0051391	ATP binding;N-acetyltransferase activity	ncRNA processing;rRNA metabolic process;tRNA acetylation	GO:0005730;GO:0005634	nucleolus;nucleus	rRNA cytidine N-acetyltransferase activity;tRNA binding	GO:1990883;GO:0000049	GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	Q8IJJ5
161	PF3D7_1021500	PF3D7_1021500.1	72	PF3D7_1021500	ATP-dependent RNA helicase ROK1, putative	ROK1	None	PF00270;PF00271			GO:0005524;GO:0003676		ATP binding;nucleic acid binding		GO:0020011	apicoplast	RNA helicase activity	GO:0003724	GO:0030490	maturation of SSU-rRNA	Q8IJI8
162	PF3D7_1021900	PF3D7_1021900.1	252	PF3D7_1021900	PHAX domain-containing protein, putative		None	PF10258;PF12796			GO:0005515		protein binding		GO:0005634	nucleus	mRNA binding	GO:0003729			Q25709,Q8IJI4
163	PF3D7_1022000	PF3D7_1022000.1	73	PF3D7_1022000	RNA-binding protein UIS12, putative		None	PF00076			GO:0003676		nucleic acid binding		GO:0005737;GO:0005634;GO:1990904	cytoplasm;nucleus;ribonucleoprotein complex	RNA binding;mRNA binding	GO:0003723;GO:0003729			Q8IJI3
164	PF3D7_1025300	PF3D7_1025300.1	253	PF3D7_1025300	conserved protein, unknown function		None								GO:0020011	apicoplast					Q8IJF2
165	PF3D7_1026200	PF3D7_1026200.1	254	PF3D7_1026200	conserved protein, unknown function		None								GO:0005739	mitochondrion					Q8IJD9
166	PF3D7_1027100	PF3D7_1027100.1	74	PF3D7_1027100	U3 small nucleolar ribonucleoprotein protein MPP10, putative	MPP10	None	PF04006	GO:0034457;GO:0005634;GO:0005732	Mpp10 complex;nucleus;sno(s)RNA-containing ribonucleoprotein complex		GO:0006364		rRNA processing	GO:0034457;GO:0032040	Mpp10 complex;small-subunit processome					Q8IJD2
167	PF3D7_1028400	PF3D7_1028400.1	255	PF3D7_1028400	ribosome biogenesis protein RPF2, putative		None	PF04427			GO:0019843	GO:0000470;GO:0000027	rRNA binding	maturation of LSU-rRNA;ribosomal large subunit assembly	GO:0005730;GO:0005634	nucleolus;nucleus	rRNA binding	GO:0019843	GO:0000463;GO:0000027	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal large subunit assembly	Q8IJC0
168	PF3D7_1028500	PF3D7_1028500.1	256	PF3D7_1028500	partial CSTF domain-containing protein, putative		None	PF15861			GO:0003676		nucleic acid binding		GO:0005634	nucleus					Q8IJB9
169	PF3D7_1030100	PF3D7_1030100.1	257	PF3D7_1030100	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative	PRP22	None	PF00270;PF00271;PF00575;PF04408;PF07717			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0071013	catalytic step 2 spliceosome	RNA binding;RNA helicase activity	GO:0003723;GO:0003724	GO:0008380;GO:0000390	RNA splicing;spliceosomal complex disassembly	Q8IJA4
170	PF3D7_1031500	PF3D7_1031500.1	75	PF3D7_1031500	ATP-dependent DNA helicase DDX3X	DDX3X	None	PF00270;PF00271			GO:0005524;GO:0004386;GO:0003676		ATP binding;helicase activity;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	ATP hydrolysis activity;DNA helicase activity	GO:0016887;GO:0003678	GO:0000398	mRNA splicing, via spliceosome	Q8IJ90
171	PF3D7_1032000	PF3D7_1032000.1	258	PF3D7_1032000	ribosome maturation factor RimM, putative	RimM	None	PF01782	GO:0016021	integral component of membrane		GO:0006364		rRNA processing	GO:0020011	apicoplast					Q8IJ86
172	PF3D7_1032100	PF3D7_1032100.1	259	PF3D7_1032100	mRNA-decapping enzyme subunit 1, putative	DCP1	None	PF06058			GO:0008047	GO:0000290;GO:0043085	enzyme activator activity	deadenylation-dependent decapping of nuclear-transcribed mRNA;positive regulation of catalytic activity	GO:0000932;GO:0005634	P-body;nucleus	enzyme regulator activity;mRNA binding	GO:0030234;GO:0003729	GO:0000290;GO:0031087	deadenylation-dependent decapping of nuclear-transcribed mRNA;deadenylation-independent decapping of nuclear-transcribed mRNA	Q03633,Q8IJ85
173	PF3D7_1036900	PF3D7_1036900.1	76	PF3D7_1036900	conserved Plasmodium protein, unknown function		None								GO:0036396;GO:0005634	RNA N6-methyladenosine methyltransferase complex;nucleus	mRNA binding	GO:0003729			A0A143ZYL5
174	PF3D7_1037700	PF3D7_1037700.1	77	PF3D7_1037700	enhancer of rudimentary homolog, putative	ERH	None	PF01133				GO:0007049		cell cycle	GO:0005634	nucleus	mRNA binding	GO:0003729			Q8IJ30
175	PF3D7_1103100	PF3D7_1103100.1	260	PF3D7_1103100	60S acidic ribosomal protein P1, putative	RPP1	None	PF00428	GO:0005840	ribosome	GO:0003735	GO:0006414	structural constituent of ribosome	translational elongation	GO:0022625;GO:0015934;GO:0005634	cytosolic large ribosomal subunit;large ribosomal subunit;nucleus	protein kinase activator activity;ribonucleoprotein complex binding;structural constituent of ribosome	GO:0030295;GO:0043021;GO:0003735	GO:0002181;GO:0006412	cytoplasmic translation;translation	Q8IIX0
176	PF3D7_1103800	PF3D7_1103800.1	78	PF3D7_1103800	CCR4-NOT transcription complex subunit NOT1-G, putative	NOT1-G	None	PF04054;PF12842;PF16417	GO:0030015;GO:0016021	CCR4-NOT core complex;integral component of membrane		GO:0006417		regulation of translation	GO:0030014;GO:0030015;GO:0000932;GO:0005829;GO:0005634	CCR4-NOT complex;CCR4-NOT core complex;P-body;cytosol;nucleus	mRNA binding;molecular adaptor activity	GO:0003729;GO:0060090	GO:0017148;GO:0000288	negative regulation of translation;nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	Q8IIW4
177	PF3D7_1104200	PF3D7_1104200.1	79	PF3D7_1104200	chromatin remodeling protein	SNF2L	None	PF00176;PF00271			GO:0005524		ATP binding		GO:0005634	nucleus	ATP binding;ATP-dependent activity, acting on DNA;DNA binding;helicase activity	GO:0005524;GO:0008094;GO:0003677;GO:0004386	GO:0006338;GO:0016584;GO:0006355	chromatin remodeling;nucleosome positioning;regulation of transcription, DNA-templated	O00914,Q8IIW0
178	PF3D7_1104700	PF3D7_1104700.1	261	PF3D7_1104700	DNA-directed RNA polymerase III subunit RPC8, putative	RPC25	None	PF03876;PF08292			GO:0003899	GO:0006351	DNA-directed 5'-3' RNA polymerase activity	transcription, DNA-templated	GO:0005666	RNA polymerase III complex			GO:0006384	transcription initiation from RNA polymerase III promoter	Q8IIV5
180	PF3D7_1105700	PF3D7_1105700.1	80	PF3D7_1105700	tRNA-splicing ligase RtcB, putative	RTCB	None	PF01139	GO:0072669	tRNA-splicing ligase complex	GO:0005525;GO:0003972;GO:0008452;GO:0046872	GO:0006396;GO:0006388	GTP binding;RNA ligase (ATP) activity;RNA ligase activity;metal ion binding	RNA processing;tRNA splicing, via endonucleolytic cleavage and ligation	GO:0005634;GO:0072669	nucleus;tRNA-splicing ligase complex	RNA ligase (ATP) activity	GO:0003972	GO:0000971;GO:0006388	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate;tRNA splicing, via endonucleolytic cleavage and ligation	A0A143ZZZ9,Q8IIU6
181	PF3D7_1106300	PF3D7_1106300.1	81	PF3D7_1106300	5'-3' exoribonuclease 1, putative	XRN1	None	PF03159;PF17846			GO:0008409;GO:0004527;GO:0003676;GO:0004528	GO:0016539;GO:0000956	5'-3' exonuclease activity;exonuclease activity;nucleic acid binding;phosphodiesterase I activity	intein-mediated protein splicing;nuclear-transcribed mRNA catabolic process	GO:0020011;GO:0005634	apicoplast;nucleus	5'-3' exoribonuclease activity;RNA binding	GO:0004534;GO:0003723	GO:0000956	nuclear-transcribed mRNA catabolic process	A0A143ZZN7
182	PF3D7_1106600	PF3D7_1106600.1	262	PF3D7_1106600	DEAD/DEAH box helicase, putative		None	PF00270;PF00271			GO:0005524;GO:0003724;GO:0003676		ATP binding;RNA helicase activity;nucleic acid binding		GO:0005730	nucleolus					Q8IIT7
183	PF3D7_1107000	PF3D7_1107000.1	263	PF3D7_1107000	U6 snRNA-associated Sm-like protein LSm4, putative	LSM4	None	PF01423	GO:0005681	spliceosomal complex		GO:0006396;GO:0000398;GO:0000956		RNA processing;mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process	GO:0000932;GO:0046540;GO:0005688;GO:0005634;GO:0005732;GO:0097526	P-body;U4/U6 x U5 tri-snRNP complex;U6 snRNP;nucleus;sno(s)RNA-containing ribonucleoprotein complex;spliceosomal tri-snRNP complex	RNA binding;U6 snRNA binding	GO:0003723;GO:0017070	GO:0033962;GO:0000398;GO:0000387	P-body assembly;mRNA splicing, via spliceosome;spliceosomal snRNP assembly	Q8IIT3
184	PF3D7_1107200	PF3D7_1107200.1	82	PF3D7_1107200	vacuolar fusion protein CCZ1, putative		None	PF19031	GO:0035658	Mon1-Ccz1 complex		GO:0016192		vesicle-mediated transport	GO:0043231	intracellular membrane-bounded organelle			GO:0016192	vesicle-mediated transport	Q8IIT1
185	PF3D7_1107300	PF3D7_1107300.1	83	PF3D7_1107300	polyadenylate-binding protein-interacting protein 1, putative	PAIP1	None				GO:0003723;GO:0005515		RNA binding;protein binding		GO:0016281;GO:0005634	eukaryotic translation initiation factor 4F complex;nucleus	mRNA binding;mRNA cap binding;translation initiation factor activity	GO:0003729;GO:0098808;GO:0003743			Q8IIS9
186	PF3D7_1107700	PF3D7_1107700.1	264	PF3D7_1107700	pescadillo homolog	PES	None	PF06732;PF16589	GO:0005730;GO:0005654;GO:0030687	nucleolus;nucleoplasm;preribosome, large subunit precursor	GO:0043021	GO:0000466;GO:0042254	ribonucleoprotein complex binding	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosome biogenesis	GO:0070545;GO:0005654;GO:0005634	PeBoW complex;nucleoplasm;nucleus	RNA binding;protein binding	GO:0003723;GO:0005515	GO:0000463;GO:0051726	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);regulation of cell cycle	A0A144A022,Q8IIS5
187	PF3D7_1109400	PF3D7_1109400.1	265	PF3D7_1109400	essential nuclear protein 1, putative	ENP1	None	PF05291							GO:0005737;GO:0005730;GO:0005634;GO:0030688	cytoplasm;nucleolus;nucleus;preribosome, small subunit precursor	snoRNA binding	GO:0030515	GO:0006364	rRNA processing	Q8IIR2
188	PF3D7_1110200	PF3D7_1110200.1	266	PF3D7_1110200	pre-mRNA-processing factor 6, putative	PRPF6	None	PF06424			GO:0005515	GO:0006396;GO:0000398	protein binding	RNA processing;mRNA splicing, via spliceosome	GO:0046540;GO:0071013	U4/U6 x U5 tri-snRNP complex;catalytic step 2 spliceosome			GO:0000398;GO:0000244	mRNA splicing, via spliceosome;spliceosomal tri-snRNP complex assembly	Q8IIR0
189	PF3D7_1110300	PF3D7_1110300.1	84	PF3D7_1110300	G-patch domain-containing protein, putative		None	PF01585			GO:0003676		nucleic acid binding								Q8IIQ9
190	PF3D7_1110600	PF3D7_1110600.1	267	PF3D7_1110600	ribosomal protein L11, mitochondrial, putative		None	PF00298;PF03946	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0015934;GO:0005762;GO:0005739;GO:0000315;GO:0005840	large ribosomal subunit;mitochondrial large ribosomal subunit;mitochondrion;organellar large ribosomal subunit;ribosome	large ribosomal subunit rRNA binding;rRNA binding;structural constituent of ribosome	GO:0070180;GO:0019843;GO:0003735	GO:0000027;GO:0006412	ribosomal large subunit assembly;translation	Q8IIQ5
191	PF3D7_1110900	PF3D7_1110900.1	268	PF3D7_1110900	ES2 protein, putative		None	PF09751							GO:0071013	catalytic step 2 spliceosome					Q8IIQ3
192	PF3D7_1113500	PF3D7_1113500.1	269	PF3D7_1113500	GTP-binding protein, putative		None	PF01926;PF13167			GO:0005525;GO:0046872		GTP binding;metal ion binding		GO:0005737;GO:0005739	cytoplasm;mitochondrion	ribosome binding	GO:0043022			Q8IIM7
193	PF3D7_1118600	PF3D7_1118600.1	85	PF3D7_1118600	histone acetyltransferase MYST	MYST	None	PF01853;PF11717;PF17772	GO:0035267	NuA4 histone acetyltransferase complex	GO:0004402	GO:0016573;GO:0006355	histone acetyltransferase activity	histone acetylation;regulation of transcription, DNA-templated	GO:0005737;GO:0044538;GO:0005634;GO:0020003	cytoplasm;host cell periphery;nucleus;symbiont-containing vacuole	histone acetyltransferase activity;histone binding;protein binding;transcription coregulator activity	GO:0004402;GO:0042393;GO:0005515;GO:0003712	GO:0043983;GO:0043984;GO:0043981;GO:0043982;GO:0045892;GO:0045944;GO:0009410	histone H4-K12 acetylation;histone H4-K16 acetylation;histone H4-K5 acetylation;histone H4-K8 acetylation;negative regulation of transcription, DNA-templated;positive regulation of transcription by RNA polymerase II;response to xenobiotic stimulus	Q8III2
194	PF3D7_1120000	PF3D7_1120000.1	86	PF3D7_1120000	conserved protein, unknown function		None								GO:0005737;GO:0016020;GO:0005634	cytoplasm;membrane;nucleus	mRNA binding	GO:0003729			A0A143ZYR6,Q8IIG7
195	PF3D7_1123600	PF3D7_1123600.1	270	PF3D7_1123600	RAP protein, putative		None	PF08373													Q8IIC7
196	PF3D7_1123900	PF3D7_1123900.1	87	PF3D7_1123900	13 kDa ribonucleoprotein-associated protein, putative	SNU13	None	PF01248	GO:0005730	nucleolus	GO:0003723		RNA binding		GO:0046540;GO:0031428;GO:0005730;GO:0005634;GO:0071011;GO:0032040	U4/U6 x U5 tri-snRNP complex;box C/D RNP complex;nucleolus;nucleus;precatalytic spliceosome;small-subunit processome	RNA binding;U3 snoRNA binding;U4 snRNA binding	GO:0003723;GO:0034511;GO:0030621	GO:0000398;GO:0000470;GO:0030490	mRNA splicing, via spliceosome;maturation of LSU-rRNA;maturation of SSU-rRNA	Q8IIC4
197	PF3D7_1124400	PF3D7_1124400.1	88	PF3D7_1124400	U6 snRNA-associated Sm-like protein LSm1, putative	LSM1	None	PF01423				GO:0006397;GO:0000956		mRNA processing;nuclear-transcribed mRNA catabolic process	GO:1990726;GO:0000932;GO:0005845	Lsm1-7-Pat1 complex;P-body;mRNA cap binding complex	RNA binding;RNA cap binding	GO:0003723;GO:0000339	GO:0016070;GO:0008380;GO:0000290;GO:0006397	RNA metabolic process;RNA splicing;deadenylation-dependent decapping of nuclear-transcribed mRNA;mRNA processing	Q8IIB9
198	PF3D7_1124800	PF3D7_1124800.1	271	PF3D7_1124800	ribosome biogenesis regulatory protein, putative	RRS1	None	PF04939	GO:0005634	nucleus		GO:0042254		ribosome biogenesis	GO:0005730;GO:0030687	nucleolus;preribosome, large subunit precursor			GO:0000447;GO:0042273;GO:0000055	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);ribosomal large subunit biogenesis;ribosomal large subunit export from nucleus	Q8IIB5
199	PF3D7_1125300	PF3D7_1125300.1	89	PF3D7_1125300	DNA-directed RNA polymerase	mtRNAP	None	PF00940;PF14700			GO:0003677;GO:0003899	GO:0006351	DNA binding;DNA-directed 5'-3' RNA polymerase activity	transcription, DNA-templated	GO:0034245;GO:0005739	mitochondrial DNA-directed RNA polymerase complex;mitochondrion	DNA binding;DNA-directed 5'-3' RNA polymerase activity;protein binding	GO:0003677;GO:0003899;GO:0005515	GO:0006390;GO:0006351	mitochondrial transcription;transcription, DNA-templated	Q8IIB0,Q9GZ07
200	PF3D7_1126800	PF3D7_1126800.1	90	PF3D7_1126800	alternative splicing factor SR-MG, putative	SR-MG	None	PF00076			GO:0003676		nucleic acid binding		GO:0005737;GO:0016607;GO:0005634	cytoplasm;nuclear speck;nucleus	RNA binding	GO:0003723	GO:0045292;GO:0000381	mRNA cis splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome	Q8II95
201	PF3D7_1128000	PF3D7_1128000.1	91	PF3D7_1128000	conserved Plasmodium protein, unknown function		None								GO:0005634	nucleus					Q8II83
203	PF3D7_1128600	PF3D7_1128600.1	92	PF3D7_1128600	CCR4-NOT transcription complex subunit 2, putative	NOT2	None	PF04153	GO:0030015	CCR4-NOT core complex		GO:0006355		regulation of transcription, DNA-templated	GO:0030014;GO:0030015;GO:0000932	CCR4-NOT complex;CCR4-NOT core complex;P-body	poly(A)-specific ribonuclease activity	GO:0004535	GO:0017148;GO:0000289	negative regulation of translation;nuclear-transcribed mRNA poly(A) tail shortening	Q8II77
204	PF3D7_1129400	PF3D7_1129400.1	272	PF3D7_1129400	RNA cytosine C(5)-methyltransferase, putative	NSUN3	None	PF01189			GO:0003723;GO:0008757;GO:0008168	GO:0001510;GO:0006396	RNA binding;S-adenosylmethionine-dependent methyltransferase activity;methyltransferase activity	RNA methylation;RNA processing	GO:0005730;GO:0005634	nucleolus;nucleus	rRNA (cytosine-C5-)-methyltransferase activity	GO:0009383	GO:0001510;GO:0000470;GO:0070475	RNA methylation;maturation of LSU-rRNA;rRNA base methylation	Q8II69
205	PF3D7_1130200	PF3D7_1130200.1	273	PF3D7_1130200	60S ribosomal protein P0	PfP0	None	PF00428;PF00466;PF17777				GO:0042254		ribosome biogenesis	GO:0022625;GO:1903561;GO:0005622;GO:0005634	cytosolic large ribosomal subunit;extracellular vesicle;intracellular;nucleus	RNA binding;large ribosomal subunit rRNA binding;structural constituent of ribosome	GO:0003723;GO:0070180;GO:0003735	GO:0002181;GO:0000027;GO:0006412	cytoplasmic translation;ribosomal large subunit assembly;translation	Q07477,Q703U6,Q705J5,Q8II61
206	PF3D7_1133100	PF3D7_1133100.1	93	PF3D7_1133100	conserved Plasmodium protein, unknown function		None														Q8II33
207	PF3D7_1134600	PF3D7_1134600.1	94	PF3D7_1134600	CCCH-type zinc finger protein ZNF4	ZNF4	None	PF00642			GO:0046872		metal ion binding		GO:0005737	cytoplasm			GO:0051701	biological process involved in interaction with host	Q8II18
208	PF3D7_1134800	PF3D7_1134800.1	95	PF3D7_1134800	coatomer subunit delta		None		GO:0030126;GO:0000139	COPI vesicle coat;Golgi membrane		GO:0015031;GO:0006890		protein transport;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	GO:0030126;GO:0030137;GO:0005737;GO:0005829	COPI vesicle coat;COPI-coated vesicle;cytoplasm;cytosol			GO:0051645;GO:0006888;GO:0006890	Golgi localization;endoplasmic reticulum to Golgi vesicle-mediated transport;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	Q8II16,Q8MV47
209	PF3D7_1136300	PF3D7_1136300.1	96	PF3D7_1136300	tudor staphylococcal nuclease	TSN	None	PF00565;PF00567							GO:0005737;GO:0005634	cytoplasm;nucleus	RNA binding;calcium ion binding;nuclease activity;protein binding	GO:0003723;GO:0005509;GO:0004518;GO:0005515	GO:0006401	RNA catabolic process	Q8II01
210	PF3D7_1136600	PF3D7_1136600.1	97	PF3D7_1136600	modulator of ring stage translation MRST	MRST	None												GO:0009410;GO:0042254	response to xenobiotic stimulus;ribosome biogenesis	Q8IHZ8
211	PF3D7_1137100	PF3D7_1137100.1	98	PF3D7_1137100	ribosomal protein S9, mitochondrial, putative		None	PF00380	GO:0005840	ribosome	GO:0003735	GO:0006412	structural constituent of ribosome	translation	GO:0005763;GO:0015935	mitochondrial small ribosomal subunit;small ribosomal subunit	RNA binding;structural constituent of ribosome	GO:0003723;GO:0003735	GO:0006412	translation	Q8IHZ4
212	PF3D7_1139100	PF3D7_1139100.1	99	PF3D7_1139100	RNA-binding protein, putative		None	PF00076			GO:0003723;GO:0003676		RNA binding;nucleic acid binding		GO:0005689;GO:0005730;GO:0005681	U12-type spliceosomal complex;nucleolus;spliceosomal complex			GO:0048026	positive regulation of mRNA splicing, via spliceosome	Q8IHX4
213	PF3D7_1143300	PF3D7_1143300.1	274	PF3D7_1143300	DNA-directed RNA polymerases I and III subunit RPAC1, putative	RPC40	None	PF01000;PF01193			GO:0003899;GO:0046983	GO:0006360;GO:0006383;GO:0006351	DNA-directed 5'-3' RNA polymerase activity;protein dimerization activity	transcription by RNA polymerase I;transcription by RNA polymerase III;transcription, DNA-templated	GO:0005736;GO:0005666	RNA polymerase I complex;RNA polymerase III complex			GO:0042797;GO:0006360	tRNA transcription by RNA polymerase III;transcription by RNA polymerase I	Q8IHT3
214	PF3D7_1143400	PF3D7_1143400.1	275	PF3D7_1143400	translation initiation factor eIF-1A, putative		None	PF01176			GO:0003723;GO:0003743	GO:0006413	RNA binding;translation initiation factor activity	translational initiation	GO:0016282	eukaryotic 43S preinitiation complex	translation initiation factor activity	GO:0003743	GO:0006413	translational initiation	Q8IHT2
215	PF3D7_1146000	PF3D7_1146000.1	100	PF3D7_1146000	ribosome assembly protein 4, putative	RSA4	None	PF00400;PF08154			GO:0005515		protein binding		GO:0005730;GO:0005634	nucleolus;nucleus			GO:0000027	ribosomal large subunit assembly	Q8IHQ8
216	PF3D7_1202000	PF3D7_1202000.1	101	PF3D7_1202000	ATP-dependent DNA/RNA helicase PSH2	PSH2	None	PF00270;PF00271			GO:0005524;GO:0003678;GO:0003724;GO:0003676		ATP binding;DNA helicase activity;RNA helicase activity;nucleic acid binding		GO:0005737;GO:0005634	cytoplasm;nucleus	3'-5' DNA helicase activity;5'-3' DNA helicase activity;ATP binding;ATP-dependent activity, acting on DNA;ATP-dependent activity, acting on RNA;RNA helicase activity	GO:0043138;GO:0043139;GO:0005524;GO:0008094;GO:0008186;GO:0003724	GO:0032508;GO:0006364	DNA duplex unwinding;rRNA processing	A0A144A0Z6,A0A386KSN1
217	PF3D7_1202600	PF3D7_1202600.1	102	PF3D7_1202600	nuclear export mediator factor NEMF, putative	NEMF	None	PF05670;PF05833;PF11923							GO:1990112;GO:0005634	RQC complex;nucleus	ribosomal large subunit binding;tRNA binding	GO:0043023;GO:0000049	GO:0051168;GO:0072344;GO:1990116	nuclear export;rescue of stalled ribosome;ribosome-associated ubiquitin-dependent protein catabolic process	A0A144A0J9
218	PF3D7_1203200	PF3D7_1203200.1	103	PF3D7_1203200	signal recognition particle subunit SRP14	SRP14	None	PF02290	GO:0048500;GO:0005786	signal recognition particle;signal recognition particle, endoplasmic reticulum targeting	GO:0008312;GO:0030942	GO:0006614	7S RNA binding;endoplasmic reticulum signal peptide binding	SRP-dependent cotranslational protein targeting to membrane	GO:0005737;GO:0005789;GO:0005634;GO:0005786	cytoplasm;endoplasmic reticulum membrane;nucleus;signal recognition particle, endoplasmic reticulum targeting	protein binding	GO:0005515	GO:0045047	protein targeting to ER	F2X1X6,Q8I613
219	PF3D7_1204300	PF3D7_1204300.1	276	PF3D7_1204300	eukaryotic translation initiation factor 5A	EIF5A	None	PF01287			GO:0003723;GO:0043022;GO:0003746	GO:0045901;GO:0045905	RNA binding;ribosome binding;translation elongation factor activity	positive regulation of translational elongation;positive regulation of translational termination	GO:0020036;GO:0005634	Maurer's cleft;nucleus	RNA binding;translation elongation factor activity;translation initiation factor activity	GO:0003723;GO:0003746;GO:0003743	GO:0045901;GO:0006413	positive regulation of translational elongation;translational initiation	Q8I603,Q8MX76
220	PF3D7_1206600	PF3D7_1206600.1	277	PF3D7_1206600	DNA-directed RNA polymerase III subunit RPC2, putative	RPC2	None	PF00562;PF04560;PF04561;PF04563;PF04565;PF04566;PF04567	GO:0020011	apicoplast	GO:0003677;GO:0003899;GO:0046872;GO:0032549	GO:0006351	DNA binding;DNA-directed 5'-3' RNA polymerase activity;metal ion binding;ribonucleoside binding	transcription, DNA-templated	GO:0005666	RNA polymerase III complex	DNA-directed 5'-3' RNA polymerase activity	GO:0003899	GO:0006383	transcription by RNA polymerase III	Q8I5X9
221	PF3D7_1207100	PF3D7_1207100.1	278	PF3D7_1207100	pre-rRNA-processing protein ESF1, putative		None	PF08159	GO:0005730;GO:0005634	nucleolus;nucleus		GO:0006364		rRNA processing			RNA binding	GO:0003723	GO:0006364	rRNA processing	Q86BT8,Q8I5X4
